"","Sensor","last_name","first_name","date","type","position","feature_distance","feature_d_speed_0_5","feature_d_speed_5_10","feature_d_speed_10_15","feature_d_speed_15_21","feature_d_speed_21_24","feature_d_speed_24_30","feature_d_speed_over30","feature_hid_d_15","feature_hid_d_21","feature_acc_3mss","feature_dec_3mss","feature_acc_3.5mss","feature_dec_3.5mss","feature_acc_4mss","feature_dec_4mss","feature_sprint_over24","feature_avg_speed","feature_max_speed","feature_max_acc"
"2228","12","SIDLER","SYLVAN",2020-12-11 13:25:21,"practice","left back",3.68,1.38,1.45,0.51,0.26,0.04,0.05,0,0.34,0.09,28,23,12,13,6,9,3,4.48,28.55,4.8
"2229","14","CARBONELL","ALEX",2020-12-11 13:25:21,"practice","lex center",3.74,1.39,1.34,0.67,0.34,0.01,0,0,0.34,0.01,20,14,8,6,4,6,0,4.58,21.67,4.62
"2230","15","SCHULZ","MARVIN",2020-12-11 13:25:21,"practice","center midfield",3.58,1.5,1.32,0.54,0.2,0.02,0,0,0.22,0.02,17,18,7,6,1,3,0,4.35,22.7,4.06
"2231","17","GRETHER","SIMON",2020-12-11 13:25:21,"practice","right back",3.86,1.41,1.46,0.63,0.34,0.02,0.01,0,0.36,0.03,20,20,10,8,2,4,1,4.76,24.47,4.15
"2232","19","OWUSU","TYRON",2020-12-11 13:25:21,"practice","left forward",3.77,1.2,1.33,0.82,0.37,0.06,0,0,0.42,0.06,27,14,15,8,8,5,0,4.66,23.44,4.62
"2233","20","ALOUNGA","YVAN",2020-12-11 13:25:21,"practice","left forward",4.11,2.02,1.21,0.42,0.28,0.08,0.09,0,0.44,0.17,22,31,6,16,2,11,9,4.06,29.49,4.96
"2234","23","TAZAR","VAROL",2020-12-11 13:25:21,"practice","left forward",3.03,1.2,1.26,0.34,0.13,0.05,0.04,0,0.22,0.09,16,9,12,2,4,1,4,3.81,29.65,4.49
"2235","25","FRYDEK","MARTIN",2020-12-11 13:25:21,"practice","artin left",3.66,1.38,1.4,0.47,0.27,0.08,0.04,0,0.39,0.12,17,21,10,11,3,6,5,4.43,26.33,4.7
"2236","27","SCHWEGLER","CHRISTIAN",2020-12-11 13:25:21,"practice","right back",3.3,1.19,1.53,0.36,0.16,0.04,0.03,0,0.22,0.06,9,13,7,10,2,3,2,3.94,27.92,4.59
"2237","77","F","UGRINIC",2020-12-11 13:25:21,"practice","ilip center",3.77,1.41,1.41,0.61,0.26,0.04,0.03,0,0.33,0.07,26,24,14,12,7,3,3,4.77,27.91,5.23
"2238","3","CIRKOVIC","LAZAR",2020-01-12 08:34:25,"practice","center back",5.4,1.83,2.24,1.13,0.19,0.01,0,0,0.19,0.01,74,43,43,29,33,18,0,4.29,22.79,4.99
"2239","6","BALATUBAN","ASH",2020-01-12 08:34:25,"practice","left back",5.5,1.84,2.15,1.14,0.37,0,0,0,0.36,0,86,63,51,42,23,25,0,4.43,20.46,5.2
"2240","13","NDENGE","TSIY",2020-01-12 08:34:25,"practice","center midfield",5.37,1.92,2.12,1.13,0.19,0.01,0,0,0.19,0.01,84,48,39,21,15,5,0,4.22,23.92,5.02
"2241","17","GRETHER","SIMON",2020-01-12 08:34:25,"practice","right back",6,1.9,2.12,1.41,0.53,0.03,0,0,0.55,0.03,107,57,55,26,31,15,0,4.81,23.38,5.46
"2242","18","EMINI","LORIK",2020-01-12 08:34:25,"practice","orik center",5.42,1.88,2.22,0.96,0.34,0.03,0,0,0.35,0.03,88,90,39,48,25,29,0,4.33,23.38,5.07
"2243","19","LANG","LINO",2020-01-12 08:34:25,"practice","left forward",5.9,1.86,2.29,1.31,0.41,0.03,0,0,0.42,0.03,83,55,51,31,29,17,0,4.74,23.49,5.22
"2244","20","DEMHASAJ","MIMI",2020-01-12 08:34:25,"practice","center forward",5.83,1.9,2.14,1.3,0.44,0.04,0.01,0,0.47,0.04,77,58,36,21,21,15,1,4.63,25.53,4.77
"2245","21","MALES","DARIAN",2020-01-12 08:34:25,"practice","center forward",5.52,1.88,1.99,1.16,0.45,0.03,0,0,0.47,0.03,129,81,70,42,43,22,0,4.39,23.42,5.36
"2246","23","MISTVAFOVIC","DAVID",2020-01-12 08:34:25,"practice","center back",6.07,1.87,2.38,1.36,0.43,0.04,0,0,0.45,0.04,94,90,62,46,40,23,3,4.84,24.1,5.25
"2247","28","TIA","CHEF",2020-01-12 08:34:25,"practice","center forward",6.04,2.01,2.24,1.31,0.48,0.02,0,0,0.48,0.01,113,75,55,48,30,18,0,4.82,23.14,5.48
"2248","3","BÜRKI","MARCO",2020-02-12 13:30:24,"practice","left back",6.47,2.23,2.56,1.19,0.42,0.05,0.02,0,0.48,0.06,63,48,23,25,8,13,2,4.55,26.6,5.37
"2249","4","KNEZEVIC","STEFAN",2020-02-12 13:30:24,"practice","center back",6.99,2.1,2.63,1.52,0.7,0.04,0.01,0,0.74,0.05,70,52,28,30,10,12,1,4.93,25.84,5.44
"2250","5","ALVES","LUCAS",2020-02-12 13:30:24,"practice","center back",6.57,2.05,2.63,1.44,0.4,0.04,0,0,0.43,0.04,33,40,13,19,8,5,0,4.57,23.47,5.4
"2251","6","BALATUBAN","ASH",2020-02-12 13:30:24,"practice","left back",7.27,2.19,2.59,1.59,0.71,0.13,0.07,0,0.89,0.19,85,73,35,36,10,14,7,5.17,28.46,4.43
"2252","7","IBRAH","NDIAYE",2020-02-12 13:30:24,"practice","left forward",6.87,2.07,2.21,1.55,0.76,0.2,0.07,0,1.02,0.27,80,78,41,34,18,23,10,4.83,26.9,5
"2253","9","MARGIOTTA","F",2020-02-12 13:30:24,"practice","ran center",6.39,2.12,2.36,1.2,0.59,0.1,0.02,0,0.71,0.12,43,33,18,11,3,4,4,4.49,25.58,4.91
"2254","10","ELEKE","BLESSING",2020-02-12 13:30:24,"practice","center forward",6.72,2.52,2.59,1.03,0.51,0.08,0,0,0.58,0.08,57,43,31,23,14,9,1,4.75,24.05,4.71
"2255","12","SIDLER","SYLVAN",2020-02-12 13:30:24,"practice","left back",7.19,2.27,2.48,1.46,0.76,0.13,0.09,0,0.96,0.22,73,92,38,46,13,19,7,5.02,27.42,5.17
"2256","13","NDENGE","TSIY",2020-02-12 13:30:24,"practice","center midfield",7.45,1.9,2.93,1.91,0.55,0.1,0.06,0,0.7,0.16,65,43,26,13,9,5,6,5.25,27.7,5.53
"2257","15","SCHULZ","MARVIN",2020-02-12 13:30:24,"practice","center midfield",7.69,2.08,2.91,1.95,0.62,0.09,0.03,0,0.73,0.12,77,53,21,28,4,11,4,5.48,25.82,4.25
"2258","17","GRETHER","SIMON",2020-02-12 13:30:24,"practice","right back",7.44,2.2,2.7,1.64,0.79,0.09,0.03,0,0.89,0.12,80,77,30,31,9,17,4,5.26,27.61,5.06
"2259","18","EMINI","LORIK",2020-02-12 13:30:24,"practice","orik center",7.56,1.75,3.05,1.95,0.72,0.07,0.02,0,0.8,0.09,55,84,18,44,6,20,4,5.36,26.78,4.25
"2260","20","DEMHASAJ","MIMI",2020-02-12 13:30:24,"practice","center forward",7.04,2.13,2.29,1.53,0.84,0.19,0.06,0,1.08,0.25,61,51,23,31,6,16,9,4.98,26.4,4.52
"2261","22","BURCH","MARCO",2020-02-12 13:30:24,"practice","right back",6.59,2.32,2.44,1.31,0.42,0.08,0.03,0,0.52,0.11,60,60,30,40,10,20,4,4.56,26.93,4.55
"2262","28","TIA","CHEF",2020-02-12 13:30:24,"practice","center forward",7.54,2.22,2.42,1.72,0.96,0.17,0.05,0,1.16,0.21,95,72,44,46,17,20,6,5.36,28.94,4.92
"2263","77","RYDER","MATOS",2020-02-12 13:30:24,"practice","center forward",6.57,2.19,2.25,1.15,0.71,0.15,0.13,0,0.97,0.28,44,51,29,32,6,19,10,4.66,28.71,4.82
"2264","3","BÜRKI","MARCO",2020-06-12 08:19:06,"practice","left back",5.2,2.69,1.77,0.52,0.2,0.01,0,0,0.21,0.01,43,26,14,11,3,8,0,3.7,21.79,5.09
"2265","4","KNEZEVIC","STEFAN",2020-06-12 08:19:06,"practice","center back",1.85,0.94,0.84,0.06,0,0,0,0,0,0,2,3,0,0,0,0,0,3.6,16.36,3.31
"2266","6","BALATUBAN","ASH",2020-06-12 08:19:06,"practice","left back",5.81,2.59,2.04,0.71,0.36,0.09,0.03,0,0.46,0.11,54,88,25,49,10,15,4,3.75,26.88,4.73
"2267","7","IBRAH","NDIAYE",2020-06-12 08:19:06,"practice","left forward",1.69,0.87,0.77,0.05,0.01,0,0,0,0.01,0,6,7,3,1,0,0,0,3.3,17.29,3.93
"2268","9","MARGIOTTA","F",2020-06-12 08:19:06,"practice","ran center",5.1,2.33,1.8,0.64,0.3,0.02,0.02,0,0.32,0.03,30,50,12,31,4,12,1,3.73,28.25,4.6
"2269","11","SCHURPF","PASCA",2020-06-12 08:19:06,"practice","left forward",6.02,2.78,2.03,0.69,0.43,0.07,0.02,0,0.51,0.09,57,50,24,30,5,12,3,3.86,25.71,4.37
"2270","12","SIDLER","SYLVAN",2020-06-12 08:19:06,"practice","left back",6.05,2.64,2.07,0.79,0.37,0.13,0.05,0,0.55,0.18,49,45,19,24,8,11,6,4.31,26.3,4.94
"2271","14","VOCA","IDRIZ",2020-06-12 08:19:06,"practice","center midfield",5.35,2.21,1.85,0.93,0.3,0.04,0.01,0,0.35,0.05,37,43,14,15,1,4,1,3.47,26.35,4.18
"2272","15","SCHULZ","MARVIN",2020-06-12 08:19:06,"practice","center midfield",4.91,2.3,1.61,0.73,0.26,0.01,0,0,0.27,0.01,19,23,5,10,1,5,0,3.07,22.58,4.28
"2273","17","GRETHER","SIMON",2020-06-12 08:19:06,"practice","right back",1.75,0.87,0.81,0.06,0,0,0,0,0,0,6,4,0,0,0,0,0,3.51,15.11,3.34
"2274","19","OWUSU","TYRON",2020-06-12 08:19:06,"practice","left forward",5.97,3.09,2.09,0.62,0.15,0.02,0,0,0.16,0.02,21,35,9,14,4,5,0,3.67,22.45,4.5
"2275","20","DEMHASAJ","MIMI",2020-06-12 08:19:06,"practice","center forward",5.29,2.72,1.72,0.58,0.22,0.03,0.01,0,0.26,0.05,19,14,3,8,2,3,1,3.83,26.52,4.45
"2276","21","MALES","DARIAN",2020-06-12 08:19:06,"practice","center forward",5.53,2.75,1.73,0.66,0.34,0.05,0.01,0,0.39,0.05,73,41,23,19,4,9,2,3.53,24.4,5.42
"2277","22","BURCH","MARCO",2020-06-12 08:19:06,"practice","right back",5.93,3.22,1.84,0.59,0.22,0.04,0.02,0,0.26,0.05,43,47,22,19,7,11,1,3.89,28.16,5.16
"2278","23","MISTVAFOVIC","DAVID",2020-06-12 08:19:06,"practice","center back",6.05,2.75,1.94,0.8,0.34,0.12,0.09,0,0.55,0.21,46,59,17,42,6,31,11,3.97,27.42,4.84
"2279","28","TIA","CHEF",2020-06-12 08:19:06,"practice","center forward",6.69,3.12,1.97,0.91,0.65,0.04,0.01,0,0.69,0.05,59,48,20,22,6,11,2,4.03,24.81,4.94
"2280","77","RYDER","MATOS",2020-06-12 08:19:06,"practice","center forward",5.46,2.6,1.89,0.63,0.26,0.04,0.04,0,0.34,0.08,29,23,4,10,1,5,3,4.02,28.34,4.95
"2281","2","KAKABADZE","OTAR",2019-07-12 19:47:57,"practice","right back",2.8,0.72,0.31,0.29,0.82,0.57,0.09,0,1.47,0.66,82,28,66,27,26,21,6,5.74,26.25,5.38
"2282","6","ARNOLD","REMO",2019-07-12 19:47:57,"practice","center midfield",3.04,0.84,0.31,0.27,0.88,0.73,0,0,1.6,0.73,100,34,55,29,21,25,0,6.2,23.95,5.64
"2283","20","SCHWEGLER","CHRISTIAN",2019-07-12 19:47:57,"practice","right back",0.09,0.03,0.01,0,0.01,0,0.01,0.02,0.04,0.04,1,0,1,0,0,0,1,6.9,32.45,3.63
"2284","21","MALES","DARIAN",2019-07-12 19:47:57,"practice","center forward",2.9,0.79,0.3,0.25,1.06,0.5,0,0,1.55,0.5,89,29,69,26,31,23,2,5.88,24.22,5.07
"2285","28","TIA","CHEF",2019-07-12 19:47:57,"practice","center forward",2.86,0.72,0.37,0.25,0.65,0.77,0.09,0,1.5,0.85,76,29,62,25,37,19,10,5.67,25.37,5.86
"2286","0","BALATUBAN","ASH",2020-09-12 08:30:10,"practice","left back",4.52,2.15,1.07,0.83,0.32,0.1,0.05,0,0.46,0.15,33,38,21,21,11,11,7,3.18,26.48,5.91
"2287","2","KAKABADZE","OTAR",2020-09-12 08:30:10,"practice","right back",3.9,2.27,0.89,0.42,0.22,0.05,0.04,0,0.31,0.09,20,16,12,9,6,3,2,2.76,27.99,5.24
"2288","4","KNEZEVIC","STEFAN",2020-09-12 08:30:10,"practice","center back",4.4,2.29,1.18,0.67,0.21,0.01,0.04,0,0.26,0.05,51,25,19,10,16,3,2,3.25,27.72,5.42
"2289","5","ALVES","LUCAS",2020-09-12 08:30:10,"practice","center back",3.96,2.14,1.12,0.57,0.11,0.01,0.02,0,0.13,0.02,35,34,24,12,14,2,1,2.78,27.24,5.14
"2290","7","IBRAH","NDIAYE",2020-09-12 08:30:10,"practice","left forward",4.18,2.07,1.18,0.53,0.26,0.07,0.07,0,0.4,0.14,38,36,26,17,12,9,5,2.99,27.89,6.25
"2291","9","MARGIOTTA","F",2020-09-12 08:30:10,"practice","ran center",4.32,2.44,0.99,0.57,0.25,0.06,0.02,0,0.32,0.07,22,28,9,10,4,2,2,2.88,26.56,5.33
"2292","11","SCHURPF","PASCA",2020-09-12 08:30:10,"practice","left forward",4.27,2.09,1.13,0.52,0.28,0.09,0.15,0.01,0.52,0.25,36,22,26,6,19,3,8,3.09,30.71,5.04
"2293","12","SIDLER","SYLVAN",2020-09-12 08:30:10,"practice","left back",4.63,2.31,1.17,0.72,0.24,0.08,0.11,0,0.43,0.19,44,41,23,18,15,4,6,3.32,30.08,5.52
"2294","13","NDENGE","TSIY",2020-09-12 08:30:10,"practice","center midfield",3.69,1.99,0.79,0.67,0.21,0.03,0,0,0.23,0.03,23,21,12,12,6,3,0,2.51,23.04,5.97
"2295","14","VOCA","IDRIZ",2020-09-12 08:30:10,"practice","center midfield",4.34,2.23,1.07,0.8,0.2,0.02,0.01,0,0.23,0.03,30,20,15,13,7,8,2,3.16,24.94,5.78
"2296","15","SCHULZ","MARVIN",2020-09-12 08:30:10,"practice","center midfield",4.52,2.37,1.05,0.71,0.29,0.06,0.03,0,0.38,0.09,43,38,24,24,16,8,2,3.26,26.07,5.01
"2297","17","GRETHER","SIMON",2020-09-12 08:30:10,"practice","right back",4.06,2.4,0.91,0.54,0.18,0.02,0.02,0,0.21,0.04,41,24,21,10,14,5,2,2.84,27.27,5.37
"2298","19","OWUSU","TYRON",2020-09-12 08:30:10,"practice","left forward",4.27,1.97,1.17,0.78,0.31,0.04,0.01,0,0.35,0.04,34,34,22,16,11,5,1,3.12,25.39,6.16
"2299","21","LINO","LANG",2020-09-12 08:30:10,"practice","right midfield",4.51,2.48,1.21,0.56,0.22,0.04,0,0,0.26,0.04,44,39,19,8,8,2,0,3.01,23.85,5.46
"2300","77","F","UGRINIC",2020-09-12 08:30:10,"practice","ilip center",4.64,2.21,1.27,0.63,0.38,0.09,0.06,0,0.52,0.14,37,27,21,9,14,5,5,3.45,27.9,5.84
"2301"," 2","ALABI","SAMUEL",2020-11-12 08:00:00,"practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2302"," 3","BÜRKI","MARCO",2020-11-12 08:00:00,"practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2303"," 4","KNEZEVIC","STEFAN",2020-11-12 08:00:00,"practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2304"," 5","ALVES","LUCAS",2020-11-12 08:00:00,"practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2305"," 7","IBRAH","NDIAYE",2020-11-12 08:00:00,"practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2306"," 9","SORGIC","DEJAN",2020-11-12 08:00:00,"practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2307","14","CARBONELL","ALEX",2020-11-12 08:00:00,"practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2308","15","SCHULZ","MARVIN",2020-11-12 08:00:00,"practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309","18","EMINI","LORIK",2020-11-12 08:00:00,"practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2310","20","ALOUNGA","YVAN",2020-11-12 08:00:00,"practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311","23","TAZAR","VAROL",2020-11-12 08:00:00,"practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312","25","FRYDEK","MARTIN",2020-11-12 08:00:00,"practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2313","27","SCHWEGLER","CHRISTIAN",2020-11-12 08:00:00,"practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2314","3","CIRKOVIC","LAZAR",2020-01-13 08:48:42,"practice","center back",5.6,2.31,2.16,0.93,0.17,0.04,0,0,0.2,0.03,41,22,19,3,9,1,0,3.84,23,4.87
"2315","4","KNEZEVIC","STEFAN",2020-01-13 08:48:42,"practice","center back",5.81,2.51,2.21,0.82,0.2,0.04,0.01,0,0.26,0.06,41,48,20,19,11,11,3,3.92,24.9,4.83
"2316","5","ALVES","LUCAS",2020-01-13 08:48:42,"practice","center back",5.04,2.2,1.69,0.9,0.22,0.03,0,0,0.25,0.03,42,44,22,15,7,7,0,3.47,23.16,4.38
"2317","6","BALATUBAN","ASH",2020-01-13 08:48:42,"practice","left back",6.08,2.3,2.04,1.19,0.45,0.06,0.04,0,0.54,0.1,64,61,31,28,12,12,4,4.18,26.22,4.79
"2318","7","IBRAH","NDIAYE",2020-01-13 08:48:42,"practice","left forward",6.1,2.35,1.78,1.37,0.49,0.1,0.02,0,0.59,0.11,71,60,34,24,15,8,2,4.16,27.27,5.14
"2319","9","MARGIOTTA","F",2020-01-13 08:48:42,"practice","ran center",5.23,2.3,1.84,0.89,0.16,0.04,0,0,0.2,0.04,21,21,8,11,0,0,0,3.61,23.8,3.72
"2320","10","ELEKE","BLESSING",2020-01-13 08:48:42,"practice","center forward",6.21,2.65,2,1.04,0.44,0.08,0.01,0,0.52,0.09,49,29,36,16,14,3,3,4.2,24.56,4.91
"2321","12","SIDLER","SYLVAN",2020-01-13 08:48:42,"practice","left back",6.35,2.48,2.19,1.18,0.4,0.09,0.01,0,0.49,0.1,69,43,25,22,10,10,3,4.27,24.58,5.73
"2322","13","NDENGE","TSIY",2020-01-13 08:48:42,"practice","center midfield",6.3,2.16,2.32,1.38,0.36,0.05,0.02,0,0.42,0.07,48,34,21,9,8,1,2,4.33,25.57,4.91
"2323","14","VOCA","IDRIZ",2020-01-13 08:48:42,"practice","center midfield",6.33,2.08,2.48,1.48,0.25,0.04,0.01,0,0.29,0.05,56,27,28,14,20,5,2,4.41,24.67,4.97
"2324","15","SCHULZ","MARVIN",2020-01-13 08:48:42,"practice","center midfield",6.11,2.24,2.51,0.95,0.33,0.05,0.02,0,0.39,0.07,36,26,15,4,1,1,4,4.18,25.31,4.17
"2325","17","GRETHER","SIMON",2020-01-13 08:48:42,"practice","right back",5.88,2.36,1.88,1.12,0.45,0.06,0.02,0,0.51,0.08,61,31,24,17,9,9,2,4.06,25.37,4.59
"2326","18","EMINI","LORIK",2020-01-13 08:48:42,"practice","orik center",6.18,2.32,2.16,1.27,0.36,0.05,0.01,0,0.41,0.06,35,55,16,27,11,10,2,4.2,25.02,4.68
"2327","19","LANG","LINO",2020-01-13 08:48:42,"practice","left forward",6.76,2.21,2.25,1.66,0.5,0.08,0.05,0,0.62,0.13,51,46,17,21,3,6,8,4.65,27.19,4.66
"2328","20","DEMHASAJ","MIMI",2020-01-13 08:48:42,"practice","center forward",5.68,2.52,1.93,0.86,0.29,0.07,0.01,0,0.36,0.07,38,29,17,15,5,7,3,3.9,24.44,5.12
"2329","21","MALES","DARIAN",2020-01-13 08:48:42,"practice","center forward",5.91,2.39,2.15,1.03,0.28,0.05,0.02,0,0.34,0.07,52,32,25,15,12,6,2,4,26.35,4.93
"2330","22","BURCH","MARCO",2020-01-13 08:48:42,"practice","right back",6.2,2.43,2.37,1.05,0.26,0.05,0.03,0,0.34,0.08,61,46,31,24,12,8,5,4.24,25.42,4.73
"2331","23","MISTVAFOVIC","DAVID",2020-01-13 08:48:42,"practice","center back",6.56,2.19,2.37,1.49,0.41,0.08,0.02,0,0.5,0.1,72,64,47,41,17,15,3,4.46,25.71,4.62
"2332","28","TIA","CHEF",2020-01-13 08:48:42,"practice","center forward",6.41,2.58,1.85,1.21,0.61,0.12,0.05,0,0.76,0.16,71,51,33,22,12,9,6,4.35,26.6,4.73
"2333","77","RYDER","MATOS",2020-01-13 08:48:42,"practice","center forward",5.38,2.44,1.6,0.82,0.41,0.09,0.02,0,0.51,0.11,50,36,24,19,12,9,3,3.74,25.2,4.85
"2334","3","CIRKOVIC","LAZAR",2020-01-13 14:30:13,"practice","center back",6.59,1.79,3,1.51,0.26,0.03,0,0,0.29,0.03,64,42,29,16,8,2,0,4.67,23.84,4.75
"2335","4","KNEZEVIC","STEFAN",2020-01-13 14:30:13,"practice","center back",7.16,2.02,3.21,1.51,0.37,0.03,0.02,0,0.4,0.04,71,45,32,22,12,10,2,5.1,25.95,4.68
"2336","5","ALVES","LUCAS",2020-01-13 14:30:13,"practice","center back",6.71,1.76,2.77,1.66,0.44,0.05,0.02,0,0.51,0.07,83,55,36,18,13,9,3,4.75,26.4,5.14
"2337","6","BALATUBAN","ASH",2020-01-13 14:30:13,"practice","left back",3.13,0.97,1.45,0.53,0.15,0.01,0.01,0,0.17,0.03,66,11,29,5,8,2,1,3.38,25.56,4.73
"2338","7","IBRAH","NDIAYE",2020-01-13 14:30:13,"practice","left forward",7.07,1.82,2.28,1.86,0.89,0.17,0.05,0,1.09,0.21,105,74,60,38,33,15,6,4.99,26.09,5.85
"2339","9","MARGIOTTA","F",2020-01-13 14:30:13,"practice","ran center",6.38,1.94,2.8,1.23,0.35,0.05,0.01,0,0.41,0.06,59,39,20,23,1,9,1,4.52,25,4.22
"2340","10","ELEKE","BLESSING",2020-01-13 14:30:13,"practice","center forward",6.84,2.04,2.89,1.29,0.52,0.08,0.03,0,0.61,0.1,84,47,38,22,15,8,5,4.85,26.31,5.54
"2341","12","SIDLER","SYLVAN",2020-01-13 14:30:13,"practice","left back",7.59,2.05,2.6,2.1,0.73,0.09,0.02,0,0.82,0.1,95,54,51,36,21,22,2,5.39,26,5.33
"2342","13","NDENGE","TSIY",2020-01-13 14:30:13,"practice","center midfield",6.72,1.74,2.62,1.78,0.45,0.08,0.06,0,0.57,0.13,69,46,44,16,18,6,4,4.77,28.02,5.44
"2343","14","VOCA","IDRIZ",2020-01-13 14:30:13,"practice","center midfield",7.24,1.79,2.82,2.03,0.49,0.06,0.05,0,0.59,0.11,72,53,35,25,13,9,4,5.14,26.47,4.74
"2344","15","SCHULZ","MARVIN",2020-01-13 14:30:13,"practice","center midfield",6.94,1.94,2.7,1.74,0.45,0.08,0.03,0,0.55,0.11,90,24,30,9,17,3,3,4.94,25.53,4.81
"2345","17","GRETHER","SIMON",2020-01-13 14:30:13,"practice","right back",6.96,1.95,2.82,1.48,0.64,0.05,0.02,0,0.7,0.07,81,38,41,22,20,10,2,4.94,27.7,5.05
"2346","18","EMINI","LORIK",2020-01-13 14:30:13,"practice","orik center",7.04,1.7,3.06,1.58,0.62,0.05,0.03,0,0.68,0.07,67,54,32,31,8,16,1,4.98,28.65,4.81
"2347","19","LANG","LINO",2020-01-13 14:30:13,"practice","left forward",7.3,1.67,2.88,1.97,0.61,0.1,0.07,0,0.77,0.17,95,51,55,20,24,10,6,5.19,28.23,5.03
"2348","20","DEMHASAJ","MIMI",2020-01-13 14:30:13,"practice","center forward",7.11,1.96,2.71,1.73,0.6,0.07,0.03,0,0.69,0.1,61,46,35,23,14,3,5,5.07,28.44,4.83
"2349","21","MALES","DARIAN",2020-01-13 14:30:13,"practice","center forward",7.14,1.69,2.76,1.92,0.68,0.09,0,0,0.75,0.08,89,37,55,16,21,9,0,5.04,23.95,4.84
"2350","22","BURCH","MARCO",2020-01-13 14:30:13,"practice","right back",6.88,1.93,2.88,1.48,0.51,0.05,0.02,0,0.57,0.07,104,72,46,35,15,12,1,4.88,27.79,5.45
"2351","23","MISTVAFOVIC","DAVID",2020-01-13 14:30:13,"practice","center back",7.32,1.55,2.88,1.98,0.78,0.12,0.02,0,0.9,0.14,113,75,46,32,19,16,2,5.21,26.77,4.87
"2352","27","SCHWEGLER","CHRISTIAN",2020-01-13 14:30:13,"practice","right back",6.71,1.88,2.49,1.66,0.5,0.12,0.05,0,0.67,0.18,75,55,40,28,19,11,5,4.75,30.4,5.1
"2353","28","TIA","CHEF",2020-01-13 14:30:13,"practice","center forward",7.58,1.78,2.7,1.92,0.94,0.15,0.09,0,1.17,0.24,94,44,34,20,13,14,10,5.39,28.48,5.18
"2354","77","RYDER","MATOS",2020-01-13 14:30:13,"practice","center forward",6.48,1.93,2.55,1.28,0.56,0.11,0.06,0,0.72,0.17,55,24,33,14,6,4,5,4.6,29.73,5.89
"2355","0","BALATUBAN","ASH",2021-01-13 14:24:57,"practice","left back",5.21,1.69,1.84,1.21,0.41,0.04,0.02,0,0.46,0.06,49,50,17,20,7,11,2,4.96,26.47,4.92
"2356","3","BÜRKI","MARCO",2021-01-13 14:24:57,"practice","left back",4.99,1.7,1.97,1.14,0.16,0.01,0,0,0.17,0.01,46,35,18,23,7,9,0,4.72,22.54,4.45
"2357","7","IBRAH","NDIAYE",2021-01-13 14:24:57,"practice","left forward",5.21,1.7,1.87,1.2,0.35,0.05,0.03,0.01,0.42,0.09,61,54,27,36,10,22,4,4.98,30.53,5.66
"2358","9","SORGIC","DEJAN",2021-01-13 14:24:57,"practice","ejan center",4.78,1.75,1.9,0.87,0.25,0.01,0,0,0.25,0.01,29,50,12,23,2,6,0,4.54,22.79,4.2
"2359","11","SCHURPF","PASCA",2021-01-13 14:24:57,"practice","left forward",5.15,1.81,1.92,1.05,0.28,0.07,0.01,0,0.35,0.08,39,41,17,24,11,5,2,4.87,25.75,5.06
"2360","13","NDENGE","TSIY",2021-01-13 14:24:57,"practice","center midfield",5.11,1.81,2.2,0.9,0.19,0,0,0,0.19,0,35,28,14,16,2,9,0,4.76,20.67,4.42
"2361","15","SCHULZ","MARVIN",2021-01-13 14:24:57,"practice","center midfield",5.04,1.86,1.68,1.18,0.26,0.03,0.02,0,0.31,0.05,23,32,7,12,2,2,3,4.76,26.17,4.31
"2362","17","GRETHER","SIMON",2021-01-13 14:24:57,"practice","right back",5.24,1.67,2.05,1.11,0.33,0.07,0.01,0,0.4,0.08,36,55,19,23,6,7,3,5.01,25.25,4.47
