"","Sensor","last_name","first_name","date","type","position","feature_distance","feature_d_speed_0_5","feature_d_speed_5_10","feature_d_speed_10_15","feature_d_speed_15_21","feature_d_speed_21_24","feature_d_speed_24_30","feature_d_speed_over30","feature_hid_d_15","feature_hid_d_21","feature_acc_3mss","feature_dec_3mss","feature_acc_3.5mss","feature_dec_3.5mss","feature_acc_4mss","feature_dec_4mss","feature_sprint_over24","feature_avg_speed","feature_max_speed","feature_max_acc"
"271","7","IBRAH","NDIAYE",2020-01-08 12:59:14,"game","left forward",5.82,1.12,1.71,1.63,0.99,0.23,0.16,0.01,1.36,0.39,73,67,31,39,15,20,12,7.54,30.52,4.62
"272","9","MARGIOTTA","F",2020-01-08 12:59:14,"game","ran center",6.05,0.99,1.94,2.07,0.89,0.12,0.06,0,1.05,0.17,36,46,9,25,4,8,4,7.6,27.27,5.43
"273","10","ELEKE","BLESSING",2020-01-08 12:59:14,"game","center forward",4.98,1.12,1.82,1.23,0.67,0.07,0.05,0,0.79,0.13,36,51,23,30,8,17,4,6.68,30.25,5.3
"274","11","KAKABADZE","OTAR",2020-01-08 12:59:14,"game","right back",2.9,0.72,0.99,0.66,0.41,0.09,0.02,0,0.52,0.11,23,26,9,14,9,10,2,6.26,27.09,4.84
"275","12","SIDLER","SYLVAN",2020-01-08 12:59:14,"game","left back",7.42,1.58,2.43,2.1,0.98,0.21,0.12,0,1.3,0.35,65,95,44,51,16,18,11,6.9,28.45,5.26
"276","13","NDENGE","TSIY",2020-01-08 12:59:14,"game","center midfield",5.7,1.05,1.97,1.83,0.72,0.08,0.05,0,0.85,0.13,46,37,19,12,15,6,5,7.38,27.05,5.48
"277","14","VOCA","IDRIZ",2020-01-08 12:59:14,"game","center midfield",9.09,1.23,2.61,3.39,1.6,0.22,0.05,0,1.84,0.26,65,105,26,53,9,22,7,8.31,25.67,5
"278","16","RYDER","MATOS",2020-01-08 12:59:14,"game","center forward",7.85,1.52,2.75,2.07,1.11,0.21,0.17,0.01,1.48,0.39,77,73,36,39,16,20,15,7.29,32.24,4.73
"279","17","GRETHER","SIMON",2020-01-08 12:59:14,"game","right back",5.8,1.1,1.83,1.7,0.94,0.11,0.1,0,1.14,0.22,46,46,18,20,9,12,6,7.25,30.34,4.69
"280","18","EMINI","LORIK",2020-01-08 12:59:14,"game","orik center",4.66,1.21,1.53,1.4,0.52,0,0,0,0.51,0,40,38,17,22,9,10,0,6.05,21.16,5.5
